journal_title,journal_issn,original_index,unique_index
Proc R Soc Med,0035-9157 (Print) 0035-9157,0,0
The Journal of infectious diseases,1537-6613,1,1
Indian journal of ophthalmology,0301-4738,2,2
,,3,3
Dermatologic clinics,1558-0520,4,4
,,5,3
Br Med Bull,0007-1420,6,5
American journal of respiratory and critical care medicine,,7,6
Clinical Neuropsychologist,1385-4046,8,7
The British journal of radiology,,9,8
Transportation Research Part D-Transport and Environment,1361-9209,10,9
International journal of clinical and experimental medicine,1940-5901,11,10
Acta Obstet Gynecol Scand,0001-6349 (Print) 0001-6349,12,11
Heart Rhythm,1547-5271,13,12
,,14,3
British Journal of Dermatology.,0007-0963,15,13
Clinical Interventions In Aging,1178-1998,16,14
Cochrane Database Syst Rev,1469-493X,17,15
Acta Neurochirurgica,Jan-68,18,16
Medicine and science in sports and exercise,0195-9131,19,17
"Cancer prevention research (Philadelphia, Pa.)",1940-6215,20,18
,,21,3
Cardiovascular and interventional radiology,1432-086X,22,19
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,1527-7755,23,20
Scandinavian Journal of Gastroenterology,,24,21
Global journal of health science,1916-9736,25,22
The Journal of clinical psychiatry,1555-2101,26,23
Metabolism: Clinical and Experimental,,27,24
PLoS One,1932-6203,28,25
American Journal of Bioethics,15265161 (ISSN),29,26
The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,1598-9992,30,27
Eur. Heart J.,0195-668X,31,28
,,32,3
Neuroprotective Agents,0077-8923,33,29
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,1532-8511,34,30
Vulnerable Children and Youth Studies,1745-0128 1745-0136,35,31
Respiration; international review of thoracic diseases,0025-7931,36,32
Neurosurgery,1524-4040,37,33
Health Facilities Management,0899-6210,38,34
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,1473-5695,39,35
Int. J. Radiat. Oncol. Biol. Phys.,0360-3016,40,36
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,1559-7016,41,37
Intensivmedizin und Notfallmedizin,0175-3851,42,38
Journal of the American Board of Family Medicine : JABFM,1557-2625,43,39
Energy and Buildings,0378-7788,44,40
Cancer research,1538-7445,45,41
,,46,3
Cochrane Database Syst. Rev.,1469-493X,47,42
The Journal of clinical psychiatry,1555-2101,48,23
Annals of Oncology,,49,43
,,50,3
Annals of the Royal College of Surgeons of England,0035-8843,51,44
American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,1537-7385,52,45
Journal of science and medicine in sport / Sports Medicine Australia,1878-1861,53,46
,,54,3
Computers & chemical engineering,0098-1354,55,47
Journal of clinical anesthesia,0952-8180,56,48
,,57,3
Teachers College Press,0-8077-4913-3,58,49
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",1433-7347,59,50
Journal of geriatric oncology,1879-4076,60,51
Obesity surgery,0960-8923,61,52
J. Card. Surg.,-7977,62,53
Journal of Allergy and Clinical Immunology,0091-6749 (Print),63,54
J. Exp. Clin. Cancer Res.,1756-9966,64,55
Clinical evidence,1752-8526,65,56
Paediatrics and Child Health,,66,57
AIDS Reviews,1139-6121,67,58
Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,1001-5515,68,59
Ophthalmic surgery and lasers,1082-3069,69,60
CANCER,0008-543X,70,61
European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,1474-5151,71,62
Journal of the neurological sciences,1878-5883,72,63
Transplantation,0041-1337,73,64
Indian Journal of Pathology and Microbiology,0377-4929,74,65
,,75,3
,,76,3
Archives De Pediatrie,0929-693X,77,66
Nepal Medical College journal : NMCJ,,78,67
