0,1,2,3,4,5,6,7,8,9,10
465176,A literature review on chronic pain: the daily overcoming of a complex problem.,,,,,0.0,0.0,,,{NULL}
453607,Evidence-based evaluation of therapeutic measures for amyotrophic lateral sclerosis. [Chinese],,,,,0.0,0.0,,,{NULL}
460786,Splinting osseointegrated implants and natural teeth in partially edentulous patients: a systematic review of the literature. [Review],,,,,0.0,0.0,,,{NULL}
436781,Hoarse voice in adults: An evidence-based approach to the 12 minute consultation.,,,,,0.0,0.0,,,{NULL}
450528,Impact of hepatitis C on survival in dialysis patients: A link with cardiovascular mortality?.,,,,,0.0,0.0,,,{NULL}
438681,Should psychiatrists use atypical antipsychotics to treat nonpsychotic anxiety?.,,,,,0.0,0.0,,,{NULL}
467318,The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,,,,,0.0,0.0,,,{NULL}
439302,"American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction.",,,,,0.0,0.0,,,{NULL}
449419,Inhibition of dxpression of VEGF in tumor cells by RNAi. [Chinese],,,,,0.0,0.0,,,{NULL}
456934,Same-Day Discharge After Percutaneous Coronary Intervention: A Meta-Analysis.,,,,,0.0,0.0,,,{NULL}
452432,Feverfew (Tanacetum parthenium L.): A systematic review.,,,,,0.0,0.0,,,{NULL}
450743,Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule.,,,,,0.0,0.0,,,{NULL}
446599,[Case management for moderate-need patients and recovery: what can we learn from experimental and quasi-experimental studies?]. [Review] [French],,,,,0.0,0.0,,,{NULL}
450760,"The value of transurethral bladder biopsy after intravesical bacillus Calmette-Guerin instillation therapy for nonmuscle invasive bladder cancer: A retrospective, single center study and cumulative analysis of the literature.",,,,,0.0,0.0,,,{NULL}
440401,American palm ethnomedicine: a meta-analysis..,,,,,0.0,0.0,,,{NULL}
441902,Pharmacotherapy for inherited colorectal cancer. [Review] [42 refs],,,,,0.0,0.0,,,{NULL}
433039,Palliative sedation therapy in the last weeks of life: a literature review and recommendations for standards.,,,,,0.0,0.0,,,{NULL}
461204,Fc receptor-like 3 (FCRL3) -169 C/T polymorphism and systemic lupus erythematosus: A meta-analysis.,,,,,0.0,0.0,,,{NULL}
261329,Abstracts from the ASENT 14th Annual Meeting,,,,,9.0,3.0,1/1/12,,{NULL}
