article_jcreated_at,article_pagination,original_index,unique_index
1/1/71,1187-9,0,0
4/2/15,,1,1
12/1/06,283-4,2,2
1/1/13,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",3,3
10/1/15,835-40,4,4
1/1/09,185-91,5,5
1/1/73,163-7,6,6
7/1/01,43-49,7,7
1/1/11,1158-78,8,8
1/1/06,158-61,9,9
1/1/09,317-325,10,10
1/1/15,10213-10224,11,11
1/1/13,711-5,12,12
1/1/11,S40,13,13
1/1/11,1245-50,14,14
5/1/99,919-21,15,15
1/1/12,185-90,16,16
1/1/05,Cd004797,17,17
1/1/97,257-8,18,18
6/1/07,991-5,19,19
12/1/13,1304-16,20,20
1/1/11,512-9 ST  - A performance improvement process to tackle tachysystole-,21,21
12/1/14,1530-9,22,22
5/20/09,2496-502,23,23
1/1/12,785-794,24,24
3/1/14,22-Dec,25,25
12/1/08,1892-900,26,26
1/1/86,1074-1077,27,27
1/1/13,e75079,28,28
1/1/09,W1-W4,29,29
12/1/08,384-8,30,30
9/1/07,2077-86,31,31
1/1/74,46,32,32
5/1/00,625-7,33,33
2/1/15,362-9,34,34
1/1/08,243-248,35,35
1/1/14,144-147,36,36
2/1/09,316-26; discussion 326-7,37,37
1/1/95,"20-6, 28",38,38
6/1/08,134-9,39,39
,S398,40,40
10/1/14,1681-7,41,41
1/1/97,655-663,42,42
1/1/14,42-55,43,43
1/1/10,2331-2337,44,44
5/15/11,3582-9,45,45
,,46,46
1/1/13,CD002843,47,47
11/1/10,1518-25,48,48
1/1/10,viii284,49,49
1/1/99,151-158,50,50
1/1/94,324-326,51,51
11/1/12,984-98,52,52
11/1/10,597-601,53,53
1/1/07,18-30,54,54
12/4/14,715-727,55,55
9/1/06,427-35,56,56
1/1/12,34,57,57
10/1/10,,58,58
12/1/14,3191-7,59,59
1/1/15,15-22,60,60
4/1/02,261-4,61,61
1/1/11,144-147,62,62
1/1/05,153-163,63,63
1/1/09,34,64,64
1/1/08,,65,65
1/1/08,410-413,66,66
1/1/10,153-163,67,67
6/1/12,"453-5, 459",68,68
3/1/99,185-90,69,69
7/15/03,310-4,70,70
1/1/12,183-9,71,71
11/15/13,112-8,72,72
1/1/15,1455-1462,73,73
7/1/03,484-7,74,74
1/1/13,17-8,75,75
1/1/11,118-124 7p,76,76
1/1/06,1349-1353,77,77
11/1/96,9-Jun,78,78
1/1/08,1925-1929,79,79
1/1/10,167-71,80,80
2/1/07,13-29,81,81
1/1/05,,82,82
5/1/15,222-8,83,83
1/1/14,159-63,84,84
1/1/08,1937-1958,85,85
12/1/06,152-5,86,86
1/1/12,38-41,87,87
1/1/99,10-May,88,88
1/1/08,135-138,89,89
3/1/09,261-3,90,90
1/1/10,93-7,91,91
1/1/99,341-6,92,92
1/1/11,481-489,93,93
1/1/13,SP26-7,94,94
1/1/07,315-20,95,95
1/1/09,326-327,96,96
1/1/92,1228-37,97,97
9/1/02,E556-64,98,98
1/1/92,319-324,99,99
,,100,46
1/1/14,283-296,101,100
1/1/15,160-6,102,101
8/1/09,667-77,103,102
4/1/14,721-7,104,103
3/1/06,248-58,105,104
1/1/12,255-62,106,105
1/1/12,135-41,107,106
4/1/03,146-51,108,107
1/1/00,CD001047,109,108
9/1/14,911-24,110,109
1/1/13,,111,110
1/1/07,8-16 ST  - Cardiac atrophy in women following bed rest-,112,111
1/1/11,,113,112
4/1/01,745-50,114,113
,,115,46
1/1/76,57-61,116,114
1/1/10,305-310,117,115
,323-330,118,116
1/1/66,13,119,117
11/1/96,999-1004,120,118
2/1/12,110-6,121,119
1/1/13,S13,122,120
1/1/13,2603-8,123,121
1/1/11,378-84,124,122
5/1/12,202-11,125,123
1/1/11,208-213,126,124
1/1/08,57-64,127,125
4/1/99,421-7,128,126
,817-823,129,127
1/1/13,1182-7,130,128
6/1/03,721-7,131,129
,,132,46
,,133,46
1/1/05,251-264,134,130
12/1/00,B570-9,135,131
11/1/14,1605-11,136,132
1/1/05,275-287,137,133
1/1/14,327-32,138,134
1/1/14,384-6 ST  - Proximal migration of a 5 French pancreatic stent during bile stone extraction: a successful retrieval using mini-snare-,139,135
1/1/11,152-9,140,136
1/1/09,"1261-9 ST  - Multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders-",141,137
1/1/11,,142,112
1/1/05,574-80,143,138
3/1/07,290-5,144,139
1/1/12,451-457,145,140
,930-936,146,141
1/1/14,6-Oct,147,142
8/1/65,364-71,148,143
5/1/04,253-4,149,144
1/1/07,131-134,150,145
10/1/12,2752-63,151,146
5/28/05,1241; author reply 1241,152,147
1/1/99,1128-31,153,148
1/1/76,149-156,154,149
6/30/07,368-72,155,150
1/1/09,1577-1588,156,151
12/1/13,45-53; quiz 54,157,152
1/1/13,256-62,158,153
1/1/14,156-61,159,154
,1171-1178,160,155
5/1/14,ZC70-5,161,156
1/1/14,574-578,162,157
1/1/11,551-561 ST  - Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Reprinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management,163,158
1/1/95,123-6,164,159
1/1/07,290-293,165,160
1/1/10,43-4,166,161
8/1/08,1203-14,167,162
1/1/13,,168,110
,,169,46
7/1/06,729-35,170,163
1/1/05,139-43,171,164
12/1/14,469-75,172,165
1/1/93,251-257,173,166
1/1/02,201-205,174,167
6/30/98,479-82,175,168
1/1/92,87-95; discussion 95-6,176,169
1/1/09,143-9,177,170
1/1/14,305-11,178,171
10/1/13,e1327-9,179,172
1/1/14,19th Congress of the European Hematology Association Milan Italy. Conference Start: 20140612 Conference End: 20140615. Conference Publication: (var.pagings). 99 (pp 233),180,173
2/17/10,,181,174
,,182,46
1/1/07,1108-18,183,175
1/1/12,612-7,184,176
1/1/12,733-748,185,177
,,186,46
1/1/10,30-35,187,178
