article_jissue,article_jcreated_at,original_index,unique_index
12.0,1/1/71,0,0
,4/2/15,1,1
4.0,12/1/06,2,2
0.0,1/1/13,3,3
4.0,10/1/15,4,4
4.0,1/1/09,5,5
2.0,1/1/73,6,6
1.0,7/1/01,7,7
7.0,1/1/11,8,8
938.0,1/1/06,9,9
5.0,1/1/09,10,10
6.0,1/1/15,11,11
6.0,1/1/13,12,12
5.0,1/1/11,13,13
8.0,1/1/11,14,14
5.0,5/1/99,15,15
,1/1/12,16,16
4.0,1/1/05,17,17
3.0,1/1/97,18,18
6.0,6/1/07,19,19
12.0,12/1/13,20,20
0.0,1/1/11,21,21
6.0,12/1/14,22,22
15.0,5/20/09,23,23
7.0,1/1/12,24,24
2.0,3/1/14,25,25
12.0,12/1/08,26,26
11.0,1/1/86,27,27
9.0,1/1/13,28,28
9.0,1/1/09,29,29
6.0,12/1/08,30,30
17.0,9/1/07,31,31
0.0,1/1/74,32,32
,5/1/00,33,33
2.0,2/1/15,34,34
3.0,1/1/08,35,35
2.0,1/1/14,36,36
2.0,2/1/09,37,37
10.0,1/1/95,38,38
3.0,6/1/08,39,39
1.0,,40,40
10.0,10/1/14,41,41
7.0,1/1/97,42,42
1.0,1/1/14,43,43
12.0,1/1/10,44,44
10.0,5/15/11,45,45
0.0,,46,46
,1/1/13,47,47
11.0,11/1/10,48,48
0.0,1/1/10,49,49
2.0,1/1/99,50,50
5.0,1/1/94,51,51
11.0,11/1/12,52,52
6.0,11/1/10,53,53
3.0,1/1/07,54,54
,12/4/14,55,55
6.0,9/1/06,56,56
0.0,1/1/12,57,57
0.0,10/1/10,58,58
12.0,12/1/14,59,59
1.0,1/1/15,60,60
2.0,4/1/02,61,61
2.0,1/1/11,62,62
1.0,1/1/05,63,63
,1/1/09,64,64
,1/1/08,65,65
0.0,1/1/08,66,66
3.0,1/1/10,67,67
3.0,6/1/12,68,68
3.0,3/1/99,69,69
2.0,7/15/03,70,70
2.0,1/1/12,71,71
1.0,11/15/13,72,72
7.0,1/1/15,73,73
3.0,7/1/03,74,74
1.0,1/1/13,75,75
3.0,1/1/11,76,76
10.0,1/1/06,77,77
17.0,11/1/96,78,78
9.0,1/1/08,79,79
2.0,1/1/10,80,80
1.0,2/1/07,81,81
3.0,1/1/05,82,82
4.0,5/1/15,83,83
2.0,1/1/14,84,36
