folder,iteration,accuracy,precision,recall,completion_tokens,prompt_tokens,total_tokens,output_valid,output_rows,response_time
rayyan,0,,0.0,0.0,1962,91326,93288,True,0,451.3296887874603
rayyan,1,,0.0,0.0,1774,45048,46822,True,0,113.0463604927063
rayyan,2,,0.0,0.0,1730,22620,24350,True,0,35.11268758773804
rayyan,3,,0.0,0.0,905,11759,12664,True,0,18.054471969604492
rayyan,4,,0.0,0.0,554,5952,6506,True,0,9.058727025985718
rayyan,5,,0.0,0.0,685,3312,3997,True,0,11.863422393798828
rayyan,6,,0.0,0.0,333,1615,1948,True,0,6.169061660766602
rayyan,7,0,0,0,131,849,980,False,0,2.821058750152588
rayyan,8,0,0,0,48,561,609,False,0,1.2520432472229004
rayyan,9,,0.0,0.0,43,333,376,True,0,1.246488332748413
