city         ,original_index,unique_index
birmingham   ,0,0
birmingham   ,1,0
birmingham   ,2,0
birminghxm   ,3,1
birmingham   ,4,0
birmingham   ,5,0
birmingham   ,6,0
birmingxam   ,7,2
sheffield    ,8,3
sheffield    ,9,3
sheffxeld    ,10,4
sheffield    ,11,3
sheffield    ,12,3
sheffield    ,13,3
sheffield    ,14,3
sheffield    ,15,3
sheffield    ,16,3
sheffield    ,17,3
sheffield    ,18,3
dothan       ,19,5
dothan       ,20,5
dothan       ,21,5
dothan       ,22,5
dothan       ,23,5
dothan       ,24,5
dothan       ,25,5
dothan       ,26,5
dothan       ,27,5
dothan       ,28,5
dothan       ,29,5
dothan       ,30,5
dothan       ,31,5
dothan       ,32,5
dothan       ,33,5
dothan       ,34,5
dothan       ,35,5
dothan       ,36,5
dothan       ,37,5
dothan       ,38,5
dothan       ,39,5
dothan       ,40,5
dothan       ,41,5
dothan       ,42,5
dothan       ,43,5
boaz         ,44,6
boaz         ,45,6
boaz         ,46,6
boaz         ,47,6
boaz         ,48,6
boaz         ,49,6
boaz         ,50,6
boaz         ,51,6
boaz         ,52,6
boaz         ,53,6
boaz         ,54,6
boaz         ,55,6
boxz         ,56,7
boaz         ,57,6
boaz         ,58,6
boaz         ,59,6
boaz         ,60,6
boaz         ,61,6
boaz         ,62,6
boaz         ,63,6
boaz         ,64,6
boaz         ,65,6
boaz         ,66,6
boaz         ,67,6
boaz         ,68,6
florence     ,69,8
florence     ,70,8
florence     ,71,8
florence     ,72,8
florence     ,73,8
florence     ,74,8
florence     ,75,8
florence     ,76,8
florence     ,77,8
florence     ,78,8
fxorence     ,79,9
florence     ,80,8
florence     ,81,8
florence     ,82,8
florence     ,83,8
florence     ,84,8
florence     ,85,8
florence     ,86,8
florence     ,87,8
florxncx     ,88,10
florence     ,89,8
florence     ,90,8
florence     ,91,8
florence     ,92,8
flxrence     ,93,11
opp          ,94,12
opp          ,95,12
opp          ,96,12
opp          ,97,12
opp          ,98,12
opp          ,99,12
opp          ,100,12
opp          ,101,12
opp          ,102,12
opp          ,103,12
opp          ,104,12
opp          ,105,12
opp          ,106,12
opp          ,107,12
opp          ,108,12
opp          ,109,12
opp          ,110,12
opp          ,111,12
opp          ,112,12
opp          ,113,12
opp          ,114,12
opp          ,115,12
opp          ,116,12
opp          ,117,12
opp          ,118,12
luverne      ,119,13
luverne      ,120,13
luverne      ,121,13
luverne      ,122,13
luverne      ,123,13
luverne      ,124,13
luverne      ,125,13
luverne      ,126,13
luverne      ,127,13
luverne      ,128,13
luverne      ,129,13
luverne      ,130,13
luverne      ,131,13
luverne      ,132,13
luverne      ,133,13
luverne      ,134,13
luverne      ,135,13
luverne      ,136,13
luverne      ,137,13
luverne      ,138,13
luverne      ,139,13
luverne      ,140,13
luverne      ,141,13
luverne      ,142,13
luverne      ,143,13
hartselle    ,144,14
hartselle    ,145,14
hartselle    ,146,14
hartselle    ,147,14
hartselle    ,148,14
hartselle    ,149,14
hartselle    ,150,14
hartselle    ,151,14
hartselle    ,152,14
hartselle    ,153,14
hartselle    ,154,14
hartselle    ,155,14
hartselle    ,156,14
hartselle    ,157,14
hartselle    ,158,14
hartselle    ,159,14
hartselle    ,160,14
hartselle    ,161,14
hartselle    ,162,14
hartselle    ,163,14
hartselle    ,164,14
hartselle    ,165,14
hartselle    ,166,14
hartselle    ,167,14
hartselle    ,168,14
guntersville ,169,15
guntersville ,170,15
guntersville ,171,15
guntersville ,172,15
guntersville ,173,15
guntersville ,174,15
guntersville ,175,15
guntersville ,176,15
guntersville ,177,15
guntersville ,178,15
guntersville ,179,15
guntxrsvillx ,180,16
guntersville ,181,15
guntersville ,182,15
guntersville ,183,15
guntersville ,184,15
guntersville ,185,15
guntersville ,186,15
guntersville ,187,15
guntersville ,188,15
guntersville ,189,15
guntersville ,190,15
guntersville ,191,15
guntersville ,192,15
guntersville ,193,15
birmingham   ,194,0
birmingham   ,195,0
birmingham   ,196,0
birmingham   ,197,0
birmingham   ,198,0
birmingham   ,199,0
birmingham   ,200,0
birmingham   ,201,0
birmingham   ,202,0
birmingham   ,203,0
birmingham   ,204,0
birmingham   ,205,0
birmingham   ,206,0
birmixgham   ,207,17
birmingham   ,208,0
birmingham   ,209,0
birmingham   ,210,0
birmingham   ,211,0
bxrmxngham   ,212,18
birmingham   ,213,0
birmingham   ,214,0
birmingham   ,215,0
birmingham   ,216,0
birmingham   ,217,0
birmingham   ,218,0
fort payne   ,219,19
fort payne   ,220,19
fort payne   ,221,19
fort payne   ,222,19
fort payne   ,223,19
fort payne   ,224,19
fort payne   ,225,19
fort payne   ,226,19
fort payne   ,227,19
fort payxe   ,228,20
fort payne   ,229,19
fort payne   ,230,19
fort payne   ,231,19
fort payne   ,232,19
fort payne   ,233,19
fort payne   ,234,19
fort payne   ,235,19
fort payne   ,236,19
fort payne   ,237,19
fort payne   ,238,19
fort payne   ,239,19
fort payne   ,240,19
fort payne   ,241,19
fort payne   ,242,19
fort payne   ,243,19
thomasville  ,244,21
thomasville  ,245,21
thomasville  ,246,21
thomasville  ,247,21
thomasville  ,248,21
thomasville  ,249,21
thomasville  ,250,21
thomasville  ,251,21
thomasville  ,252,21
thomasville  ,253,21
thomasville  ,254,21
thomasville  ,255,21
thomasville  ,256,21
thomasville  ,257,21
thomasville  ,258,21
thomasville  ,259,21
thomasville  ,260,21
thomasville  ,261,21
thomasville  ,262,21
thomasville  ,263,21
thomasville  ,264,21
thomasville  ,265,21
thomasville  ,266,21
thomasville  ,267,21
thomasville  ,268,21
alabaster    ,269,22
alabaster    ,270,22
alabaster    ,271,22
alabaster    ,272,22
alabaster    ,273,22
alabaster    ,274,22
alabaster    ,275,22
alabaster    ,276,22
alabaster    ,277,22
alabaster    ,278,22
alabaster    ,279,22
alabaster    ,280,22
alabaster    ,281,22
alabaster    ,282,22
alabaster    ,283,22
alabaster    ,284,22
alabaster    ,285,22
alabaster    ,286,22
alabaster    ,287,22
alabaster    ,288,22
alabaster    ,289,22
alabaster    ,290,22
alabaster    ,291,22
alabaster    ,292,22
alabaster    ,293,22
birmingham   ,294,0
birmingham   ,295,0
birmingham   ,296,0
birmingham   ,297,0
birmingham   ,298,0
birmingham   ,299,0
birmingham   ,300,0
birmingham   ,301,0
birmingham   ,302,0
birmingham   ,303,0
birmingham   ,304,0
birmingham   ,305,0
birmingham   ,306,0
birmingham   ,307,0
birmingham   ,308,0
birmingham   ,309,0
birmingham   ,310,0
axxistox     ,311,23
anniston     ,312,24
anniston     ,313,24
anniston     ,314,24
anniston     ,315,24
anniston     ,316,24
anniston     ,317,24
anniston     ,318,24
anniston     ,319,24
anniston     ,320,24
anniston     ,321,24
anniston     ,322,24
anniston     ,323,24
anniston     ,324,24
anniston     ,325,24
anniston     ,326,24
anniston     ,327,24
anniston     ,328,24
anniston     ,329,24
anniston     ,330,24
dothan       ,331,5
dothan       ,332,5
dothan       ,333,5
dothan       ,334,5
dothan       ,335,5
dothan       ,336,5
dothan       ,337,5
dothan       ,338,5
dothan       ,339,5
dothan       ,340,5
dothan       ,341,5
dothan       ,342,5
dothan       ,343,5
dothan       ,344,5
dothan       ,345,5
dothan       ,346,5
dothan       ,347,5
birmingham   ,348,0
birmingham   ,349,0
birmingham   ,350,0
birmingham   ,351,0
birmingham   ,352,0
decatur      ,353,25
winfield     ,354,26
winfield     ,355,26
winfield     ,356,26
winfield     ,357,26
winfield     ,358,26
winfield     ,359,26
winfield     ,360,26
winfield     ,361,26
winfield     ,362,26
winfield     ,363,26
winfield     ,364,26
winfield     ,365,26
winfield     ,366,26
winfielx     ,367,27
winfield     ,368,26
winfield     ,369,26
winfield     ,370,26
winfield     ,371,26
winfield     ,372,26
winfield     ,373,26
winfield     ,374,26
winfield     ,375,26
winfield     ,376,26
winfield     ,377,26
winfield     ,378,26
mobile       ,379,28
mobile       ,380,28
