zip   ,original_index,unique_index
35233 ,0,0
35233 ,1,0
35233 ,2,0
35233 ,3,0
35233 ,4,0
35233 ,5,0
35233 ,6,0
35233 ,7,0
35660 ,8,1
35660 ,9,1
35660 ,10,1
35660 ,11,1
35660 ,12,1
35660 ,13,1
35660 ,14,1
35660 ,15,1
35660 ,16,1
35660 ,17,1
35660 ,18,1
36302 ,19,2
36302 ,20,2
36302 ,21,2
36302 ,22,2
36302 ,23,2
36302 ,24,2
36302 ,25,2
36302 ,26,2
36302 ,27,2
36302 ,28,2
36302 ,29,2
36302 ,30,2
36302 ,31,2
36302 ,32,2
36302 ,33,2
36302 ,34,2
36302 ,35,2
36302 ,36,2
36302 ,37,2
36302 ,38,2
36302 ,39,2
36302 ,40,2
36302 ,41,2
36302 ,42,2
36302 ,43,2
x5957 ,44,3
35957 ,45,4
35957 ,46,4
35957 ,47,4
35957 ,48,4
35957 ,49,4
35957 ,50,4
35957 ,51,4
35957 ,52,4
35957 ,53,4
35957 ,54,4
35957 ,55,4
35957 ,56,4
35957 ,57,4
35957 ,58,4
35957 ,59,4
35957 ,60,4
35957 ,61,4
35957 ,62,4
3595x ,63,5
35957 ,64,4
35957 ,65,4
35957 ,66,4
35957 ,67,4
35957 ,68,4
35631 ,69,6
3563x ,70,7
35631 ,71,6
35631 ,72,6
35631 ,73,6
35631 ,74,6
35631 ,75,6
35631 ,76,6
35631 ,77,6
35631 ,78,6
35631 ,79,6
35631 ,80,6
35631 ,81,6
35631 ,82,6
35631 ,83,6
35631 ,84,6
35631 ,85,6
35631 ,86,6
35631 ,87,6
35631 ,88,6
35631 ,89,6
35631 ,90,6
35631 ,91,6
35631 ,92,6
3563x ,93,7
36467 ,94,8
36467 ,95,8
36467 ,96,8
36467 ,97,8
36467 ,98,8
36467 ,99,8
36467 ,100,8
36467 ,101,8
36467 ,102,8
36467 ,103,8
36467 ,104,8
36467 ,105,8
36467 ,106,8
36467 ,107,8
36467 ,108,8
36467 ,109,8
36467 ,110,8
36467 ,111,8
36467 ,112,8
36467 ,113,8
36467 ,114,8
36467 ,115,8
36467 ,116,8
36467 ,117,8
36467 ,118,8
36049 ,119,9
36049 ,120,9
36049 ,121,9
36049 ,122,9
36049 ,123,9
36049 ,124,9
36049 ,125,9
36049 ,126,9
36049 ,127,9
36049 ,128,9
36049 ,129,9
36049 ,130,9
36049 ,131,9
36049 ,132,9
36049 ,133,9
36049 ,134,9
36049 ,135,9
36049 ,136,9
36x49 ,137,10
36049 ,138,9
360x9 ,139,11
36049 ,140,9
36049 ,141,9
36049 ,142,9
36049 ,143,9
35640 ,144,12
35640 ,145,12
35640 ,146,12
35640 ,147,12
35640 ,148,12
3x640 ,149,13
35640 ,150,12
35640 ,151,12
35640 ,152,12
35640 ,153,12
35640 ,154,12
35640 ,155,12
35640 ,156,12
3x640 ,157,13
35640 ,158,12
35640 ,159,12
35640 ,160,12
35640 ,161,12
35640 ,162,12
35640 ,163,12
35640 ,164,12
35640 ,165,12
35640 ,166,12
35640 ,167,12
35640 ,168,12
35976 ,169,14
35976 ,170,14
35976 ,171,14
35976 ,172,14
35976 ,173,14
35976 ,174,14
35976 ,175,14
35976 ,176,14
35976 ,177,14
35976 ,178,14
35976 ,179,14
35976 ,180,14
35976 ,181,14
35976 ,182,14
35976 ,183,14
35976 ,184,14
35976 ,185,14
35976 ,186,14
35976 ,187,14
35976 ,188,14
35976 ,189,14
35976 ,190,14
35976 ,191,14
35976 ,192,14
35976 ,193,14
35235 ,194,15
35235 ,195,15
3x23x ,196,16
35235 ,197,15
35235 ,198,15
35235 ,199,15
35235 ,200,15
35235 ,201,15
35235 ,202,15
35235 ,203,15
35235 ,204,15
35235 ,205,15
35235 ,206,15
35235 ,207,15
35235 ,208,15
35235 ,209,15
35235 ,210,15
35235 ,211,15
35235 ,212,15
35235 ,213,15
35235 ,214,15
35235 ,215,15
35235 ,216,15
35235 ,217,15
35235 ,218,15
35968 ,219,17
35968 ,220,17
35968 ,221,17
35968 ,222,17
35968 ,223,17
35968 ,224,17
35968 ,225,17
35968 ,226,17
35968 ,227,17
35968 ,228,17
35968 ,229,17
35968 ,230,17
35968 ,231,17
359x8 ,232,18
35968 ,233,17
35968 ,234,17
35968 ,235,17
35968 ,236,17
35968 ,237,17
35968 ,238,17
35968 ,239,17
35968 ,240,17
35968 ,241,17
35968 ,242,17
35968 ,243,17
36784 ,244,19
36784 ,245,19
36784 ,246,19
36784 ,247,19
36784 ,248,19
36784 ,249,19
36784 ,250,19
36784 ,251,19
36784 ,252,19
36784 ,253,19
36784 ,254,19
36784 ,255,19
36784 ,256,19
36784 ,257,19
36784 ,258,19
36784 ,259,19
36784 ,260,19
36784 ,261,19
36784 ,262,19
36784 ,263,19
36784 ,264,19
36784 ,265,19
36784 ,266,19
x6784 ,267,20
36784 ,268,19
35007 ,269,21
35007 ,270,21
35007 ,271,21
35007 ,272,21
35007 ,273,21
35007 ,274,21
35007 ,275,21
35007 ,276,21
35007 ,277,21
35007 ,278,21
35007 ,279,21
35007 ,280,21
35007 ,281,21
35007 ,282,21
3x007 ,283,22
35007 ,284,21
35007 ,285,21
35007 ,286,21
35007 ,287,21
35007 ,288,21
35007 ,289,21
x5007 ,290,23
35007 ,291,21
35007 ,292,21
35007 ,293,21
35233 ,294,0
35233 ,295,0
35233 ,296,0
35233 ,297,0
35233 ,298,0
35233 ,299,0
35233 ,300,0
35233 ,301,0
35233 ,302,0
35233 ,303,0
35233 ,304,0
35233 ,305,0
35233 ,306,0
35233 ,307,0
35233 ,308,0
35233 ,309,0
35233 ,310,0
36201 ,311,24
36201 ,312,24
36201 ,313,24
36201 ,314,24
36201 ,315,24
36201 ,316,24
36201 ,317,24
36201 ,318,24
36201 ,319,24
36201 ,320,24
36201 ,321,24
36201 ,322,24
36201 ,323,24
36201 ,324,24
36x01 ,325,25
36201 ,326,24
36201 ,327,24
36201 ,328,24
36201 ,329,24
36201 ,330,24
36305 ,331,26
3x305 ,332,27
36305 ,333,26
36305 ,334,26
36305 ,335,26
36305 ,336,26
36305 ,337,26
36305 ,338,26
36305 ,339,26
x6x05 ,340,28
36305 ,341,26
36305 ,342,26
36305 ,343,26
36305 ,344,26
36305 ,345,26
36305 ,346,26
36305 ,347,26
35205 ,348,29
35205 ,349,29
35205 ,350,29
35205 ,351,29
35205 ,352,29
35609 ,353,30
35594 ,354,31
35594 ,355,31
35594 ,356,31
35594 ,357,31
35594 ,358,31
35594 ,359,31
35594 ,360,31
35594 ,361,31
35594 ,362,31
35594 ,363,31
35594 ,364,31
35594 ,365,31
3xx94 ,366,32
35594 ,367,31
35594 ,368,31
35594 ,369,31
35594 ,370,31
35594 ,371,31
35594 ,372,31
35594 ,373,31
35594 ,374,31
3xx94 ,375,32
35594 ,376,31
35594 ,377,31
35594 ,378,31
36617 ,379,33
36617 ,380,33
36617 ,381,33
36617 ,382,33
36617 ,383,33
36617 ,384,33
36617 ,385,33
36617 ,386,33
36617 ,387,33
36617 ,388,33
36617 ,389,33
36617 ,390,33
36617 ,391,33
36067 ,392,34
36067 ,393,34
36067 ,394,34
36067 ,395,34
36067 ,396,34
36067 ,397,34
36067 ,398,34
36067 ,399,34
36067 ,400,34
36067 ,401,34
36067 ,402,34
36067 ,403,34
36067 ,404,34
36067 ,405,34
3x0x7 ,406,35
36067 ,407,34
36067 ,408,34
36067 ,409,34
36067 ,410,34
36067 ,411,34
35653 ,412,36
35653 ,413,36
35150 ,414,37
35150 ,415,37
35150 ,416,37
35150 ,417,37
35150 ,418,37
35150 ,419,37
x5150 ,420,38
35150 ,421,37
35150 ,422,37
35150 ,423,37
35150 ,424,37
35150 ,425,37
35150 ,426,37
35150 ,427,37
3x1x0 ,428,39
35150 ,429,37
35150 ,430,37
35150 ,431,37
99508 ,432,40
99508 ,433,40
99508 ,434,40
99508 ,435,40
99508 ,436,40
99508 ,437,40
99508 ,438,40
99508 ,439,40
99508 ,440,40
99508 ,441,40
99508 ,442,40
99508 ,443,40
99508 ,444,40
99508 ,445,40
99508 ,446,40
99508 ,447,40
99508 ,448,40
99508 ,449,40
99559 ,450,41
99559 ,451,41
35660 ,452,1
35660 ,453,1
35660 ,454,1
35660 ,455,1
35660 ,456,1
35660 ,457,1
35660 ,458,1
35660 ,459,1
35660 ,460,1
35660 ,461,1
35660 ,462,1
35660 ,463,1
35660 ,464,1
35660 ,465,1
36360 ,466,42
36360 ,467,42
36360 ,468,42
36360 ,469,42
36360 ,470,42
36360 ,471,42
36360 ,472,42
36360 ,473,42
36360 ,474,42
36360 ,475,42
36360 ,476,42
36360 ,477,42
36360 ,478,42
36360 ,479,42
36360 ,480,42
36360 ,481,42
36360 ,482,42
36360 ,483,42
36360 ,484,42
36360 ,485,42
36360 ,486,42
36360 ,487,42
36360 ,488,42
36360 ,489,42
x6x60 ,490,43
35960 ,491,44
35960 ,492,44
35960 ,493,44
35960 ,494,44
35960 ,495,44
35960 ,496,44
35960 ,497,44
35960 ,498,44
x5960 ,499,45
35960 ,500,44
35960 ,501,44
35960 ,502,44
35960 ,503,44
35960 ,504,44
35960 ,505,44
35960 ,506,44
35960 ,507,44
35960 ,508,44
35960 ,509,44
35960 ,510,44
35960 ,511,44
35960 ,512,44
35960 ,513,44
35960 ,514,44
35960 ,515,44
36116 ,516,46
36116 ,517,46
36116 ,518,46
36116 ,519,46
36116 ,520,46
36116 ,521,46
36116 ,522,46
36116 ,523,46
36116 ,524,46
36116 ,525,46
36116 ,526,46
36116 ,527,46
36116 ,528,46
36116 ,529,46
36116 ,530,46
36116 ,531,46
36116 ,532,46
36116 ,533,46
36116 ,534,46
36116 ,535,46
36116 ,536,46
36116 ,537,46
36116 ,538,46
36116 ,539,46
36116 ,540,46
36106 ,541,47
36106 ,542,47
36106 ,543,47
3x10x ,544,48
36106 ,545,47
36106 ,546,47
36106 ,547,47
36106 ,548,47
36106 ,549,47
36106 ,550,47
36106 ,551,47
36106 ,552,47
36106 ,553,47
36106 ,554,47
36106 ,555,47
36106 ,556,47
36106 ,557,47
36106 ,558,47
36106 ,559,47
36106 ,560,47
36106 ,561,47
36106 ,562,47
36106 ,563,47
36106 ,564,47
36106 ,565,47
36854 ,566,49
36854 ,567,49
36854 ,568,49
36854 ,569,49
36854 ,570,49
36854 ,571,49
36854 ,572,49
36854 ,573,49
36854 ,574,49
36854 ,575,49
36854 ,576,49
36854 ,577,49
36854 ,578,49
36854 ,579,49
36854 ,580,49
36854 ,581,49
36854 ,582,49
36854 ,583,49
36854 ,584,49
36854 ,585,49
36854 ,586,49
36854 ,587,49
36854 ,588,49
36854 ,589,49
36854 ,590,49
36323 ,591,50
36323 ,592,50
36323 ,593,50
36323 ,594,50
36323 ,595,50
36323 ,596,50
36323 ,597,50
36323 ,598,50
36323 ,599,50
36323 ,600,50
36323 ,601,50
36323 ,602,50
36323 ,603,50
36323 ,604,50
36323 ,605,50
36323 ,606,50
36323 ,607,50
36323 ,608,50
36323 ,609,50
36323 ,610,50
36323 ,611,50
36323 ,612,50
36323 ,613,50
36323 ,614,50
36323 ,615,50
36801 ,616,51
36801 ,617,51
36801 ,618,51
36801 ,619,51
36801 ,620,51
36801 ,621,51
36801 ,622,51
36801 ,623,51
36801 ,624,51
36801 ,625,51
36801 ,626,51
36801 ,627,51
36801 ,628,51
36801 ,629,51
36801 ,630,51
36801 ,631,51
36801 ,632,51
36801 ,633,51
36801 ,634,51
36801 ,635,51
36801 ,636,51
36801 ,637,51
36801 ,638,51
36801 ,639,51
36801 ,640,51
36278 ,641,52
36278 ,642,52
36278 ,643,52
36278 ,644,52
36278 ,645,52
36278 ,646,52
36278 ,647,52
36278 ,648,52
36278 ,649,52
36278 ,650,52
36278 ,651,52
36278 ,652,52
36278 ,653,52
36278 ,654,52
36278 ,655,52
36278 ,656,52
36278 ,657,52
36278 ,658,52
36278 ,659,52
36278 ,660,52
36278 ,661,52
36278 ,662,52
36278 ,663,52
36278 ,664,52
36278 ,665,52
35233 ,666,0
35233 ,667,0
35233 ,668,0
35233 ,669,0
35233 ,670,0
35233 ,671,0
35233 ,672,0
35233 ,673,0
35233 ,674,0
35233 ,675,0
35233 ,676,0
35233 ,677,0
35233 ,678,0
3x233 ,679,53
35233 ,680,0
35233 ,681,0
35233 ,682,0
35233 ,683,0
35233 ,684,0
x52xx ,685,54
35233 ,686,0
35233 ,687,0
35233 ,688,0
35233 ,689,0
35233 ,690,0
36078 ,691,55
36078 ,692,55
36078 ,693,55
36078 ,694,55
36078 ,695,55
36078 ,696,55
36078 ,697,55
36078 ,698,55
36078 ,699,55
36078 ,700,55
36078 ,701,55
36078 ,702,55
36078 ,703,55
36078 ,704,55
36078 ,705,55
36078 ,706,55
36078 ,707,55
36078 ,708,55
36078 ,709,55
36x78 ,710,56
36078 ,711,55
36078 ,712,55
36078 ,713,55
36078 ,714,55
36078 ,715,55
35058 ,716,57
35058 ,717,57
35058 ,718,57
35058 ,719,57
35058 ,720,57
35058 ,721,57
35058 ,722,57
35058 ,723,57
35058 ,724,57
35058 ,725,57
35058 ,726,57
35058 ,727,57
35058 ,728,57
35058 ,729,57
35058 ,730,57
35058 ,731,57
35058 ,732,57
35058 ,733,57
35058 ,734,57
35058 ,735,57
35058 ,736,57
35058 ,737,57
35058 ,738,57
35058 ,739,57
35058 ,740,57
36420 ,741,58
36420 ,742,58
36420 ,743,58
36420 ,744,58
36420 ,745,58
36420 ,746,58
36420 ,747,58
36420 ,748,58
36420 ,749,58
3642x ,750,59
36420 ,751,58
36420 ,752,58
36420 ,753,58
36420 ,754,58
36420 ,755,58
36420 ,756,58
36420 ,757,58
36420 ,758,58
36420 ,759,58
36420 ,760,58
36420 ,761,58
36420 ,762,58
36420 ,763,58
36420 ,764,58
36420 ,765,58
36201 ,766,24
36201 ,767,24
36201 ,768,24
36201 ,769,24
36201 ,770,24
36201 ,771,24
36201 ,772,24
36201 ,773,24
35801 ,774,60
35801 ,775,60
35801 ,776,60
35801 ,777,60
35801 ,778,60
35801 ,779,60
35801 ,780,60
35801 ,781,60
35801 ,782,60
35801 ,783,60
35801 ,784,60
35801 ,785,60
35801 ,786,60
35801 ,787,60
35801 ,788,60
35801 ,789,60
35801 ,790,60
35801 ,791,60
35801 ,792,60
35801 ,793,60
35801 ,794,60
35801 ,795,60
35801 ,796,60
35801 ,797,60
35801 ,798,60
35801 ,799,60
35801 ,800,60
35801 ,801,60
35903 ,802,61
35903 ,803,61
35903 ,804,61
35903 ,805,61
35903 ,806,61
35903 ,807,61
35903 ,808,61
35903 ,809,61
35903 ,810,61
35903 ,811,61
35903 ,812,61
35903 ,813,61
35903 ,814,61
x590x ,815,62
35903 ,816,61
35903 ,817,61
35903 ,818,61
35903 ,819,61
35903 ,820,61
35903 ,821,61
35903 ,822,61
35903 ,823,61
35903 ,824,61
35903 ,825,61
35903 ,826,61
35045 ,827,63
35045 ,828,63
35045 ,829,63
35045 ,830,63
35045 ,831,63
35045 ,832,63
35045 ,833,63
35045 ,834,63
35045 ,835,63
35045 ,836,63
35045 ,837,63
35045 ,838,63
35045 ,839,63
35045 ,840,63
35045 ,841,63
35045 ,842,63
35045 ,843,63
35045 ,844,63
35045 ,845,63
35045 ,846,63
35045 ,847,63
35045 ,848,63
35045 ,849,63
35045 ,850,63
35045 ,851,63
35570 ,852,64
35570 ,853,64
35570 ,854,64
35570 ,855,64
35570 ,856,64
35570 ,857,64
35570 ,858,64
35570 ,859,64
35570 ,860,64
35570 ,861,64
35570 ,862,64
35570 ,863,64
35570 ,864,64
35570 ,865,64
35570 ,866,64
35570 ,867,64
35570 ,868,64
35570 ,869,64
35570 ,870,64
35570 ,871,64
35570 ,872,64
35570 ,873,64
35570 ,874,64
35570 ,875,64
35570 ,876,64
35555 ,877,65
35555 ,878,65
35555 ,879,65
35555 ,880,65
35555 ,881,65
35555 ,882,65
35555 ,883,65
35555 ,884,65
35555 ,885,65
35555 ,886,65
35555 ,887,65
35555 ,888,65
35555 ,889,65
35555 ,890,65
35555 ,891,65
35555 ,892,65
35555 ,893,65
35555 ,894,65
35555 ,895,65
35555 ,896,65
35555 ,897,65
35555 ,898,65
35555 ,899,65
35555 ,900,65
35555 ,901,65
35901 ,902,66
35901 ,903,66
35901 ,904,66
35901 ,905,66
35901 ,906,66
35901 ,907,66
35901 ,908,66
35901 ,909,66
35901 ,910,66
35901 ,911,66
35901 ,912,66
35901 ,913,66
35901 ,914,66
35901 ,915,66
35901 ,916,66
35901 ,917,66
35901 ,918,66
35901 ,919,66
35901 ,920,66
35901 ,921,66
35901 ,922,66
3590x ,923,67
35901 ,924,66
35901 ,925,66
35901 ,926,66
35901 ,927,66
35901 ,928,66
35901 ,929,66
36033 ,930,68
36033 ,931,68
36033 ,932,68
36033 ,933,68
36033 ,934,68
36033 ,935,68
36033 ,936,68
36033 ,937,68
36033 ,938,68
36033 ,939,68
36033 ,940,68
36033 ,941,68
36033 ,942,68
36033 ,943,68
36033 ,944,68
36033 ,945,68
36033 ,946,68
36033 ,947,68
36033 ,948,68
36033 ,949,68
36033 ,950,68
36033 ,951,68
36033 ,952,68
36033 ,953,68
36033 ,954,68
36330 ,955,69
36330 ,956,69
36330 ,957,69
36330 ,958,69
36330 ,959,69
36330 ,960,69
36330 ,961,69
36330 ,962,69
36330 ,963,69
36330 ,964,69
36330 ,965,69
36330 ,966,69
36330 ,967,69
36330 ,968,69
36330 ,969,69
36330 ,970,69
36330 ,971,69
36330 ,972,69
36330 ,973,69
36330 ,974,69
36330 ,975,69
36330 ,976,69
36330 ,977,69
