Completion Tokens,Prompt Tokens,Total Tokens,Elapsed Time,Prompt Name
67,3594,3661,00:01.611,index 
87,910,997,00:01.956,provider_number 
88,1134,1222,00:01.311,name                                 
113,1191,1304,00:01.610,address_1                    
91,596,687,00:01.412,address_2 
57,596,653,00:00.990,address_3 
86,948,1034,00:01.484,city         
63,605,668,00:01.170,state 
90,912,1002,00:01.202,zip   
52,899,951,00:01.166,county     
115,1063,1178,00:01.637,phone      
79,684,763,00:01.383,type                 
92,837,929,00:01.423,owner                                       
95,613,708,00:01.334,emergency_service 
77,781,858,00:02.623,condition                     
105,903,1008,00:01.566,measure_code 
121,2065,2186,00:01.586,measure_name                                                                                                                                                                             
106,876,982,00:02.084,score 
67,1987,2054,00:01.575,sample        
109,1149,1258,00:02.247,state_average
