state_average,original_index,unique_index
al_scip-card-2,0,0
al_scip-inf-1,1,1
al_scip-inf-2,2,2
al_scip-inf-3,3,3
al_scip-inf-4,4,4
al_scip-inf-6,5,5
al_scip-vte-1,6,6
al_scip-vte-2,7,7
al_ami-1,8,8
al_ami-2,9,9
al_ami-3,10,10
al_ami-4,11,11
al_ami-5,12,12
al_ami-7a,13,13
al_ami-8a,14,14
al_hf-1,15,15
al_hf-2,16,16
al_hf-3,17,17
al_hf-4,18,18
al_ami-1,19,8
al_ami-2,20,9
al_ami-3,21,10
al_ami-4,22,11
al_ami-5,23,12
al_ami-7a,24,13
al_ami-8a,25,14
al_hf-1,26,15
al_hf-2,27,16
al_hf-3,28,17
al_hf-4,29,18
al_pn-2,30,19
al_pn-3b,31,20
al_pn-4,32,21
al_pn-5c,33,22
al_pn-6,34,23
al_pn-7,35,24
al_scip-card-2,36,0
al_scip-inf-1,37,1
al_scip-inf-2,38,2
al_scip-inf-3,39,3
al_scip-inf-4,40,4
al_scip-inf-6,41,5
al_scip-vte-1,42,6
al_scip-vte-2,43,7
al_ami-1,44,8
al_ami-2,45,9
al_ami-3,46,10
al_ami-4,47,11
al_ami-5,48,12
al_ami-7a,49,13
al_ami-8a,50,14
al_hf-1,51,15
al_hf-2,52,16
al_hf-3,53,17
al_hf-4,54,18
al_pn-2,55,19
al_pn-xb,56,25
al_pn-4,57,21
al_pn-5c,58,22
al_pn-6,59,23
al_pn-7,60,24
al_scip-card-2,61,0
al_scip-inf-1,62,1
al_scip-inf-2,63,2
al_scip-inf-3,64,3
al_scip-inf-4,65,4
al_scip-inf-6,66,5
al_scip-vte-1,67,6
al_scip-vte-2,68,7
al_amx-1,69,26
al_ami-2,70,9
al_ami-3,71,10
al_ami-4,72,11
al_ami-5,73,12
al_ami-7a,74,13
al_ami-8a,75,14
al_hf-1,76,15
al_hf-2,77,16
al_hf-3,78,17
al_hf-4,79,18
al_pn-2,80,19
al_pn-3b,81,20
al_pn-4,82,21
al_pn-5c,83,22
al_pn-6,84,23
al_pn-7,85,24
al_scip-card-2,86,0
al_scip-inf-1,87,1
al_scip-inf-2,88,2
al_scip-inf-3,89,3
al_scip-inf-4,90,4
al_scip-inf-6,91,5
al_scip-vte-1,92,6
al_scip-vte-2,93,7
al_ami-1,94,8
al_ami-2,95,9
al_ami-3,96,10
al_ami-4,97,11
al_ami-5,98,12
al_ami-7a,99,13
al_ami-8a,100,14
al_hf-1,101,15
al_hf-2,102,16
al_hf-3,103,17
al_hf-4,104,18
al_pn-2,105,19
al_pn-3b,106,20
al_pn-4,107,21
al_pn-5c,108,22
al_pn-6,109,23
al_pn-7,110,24
al_scip-card-2,111,0
al_scip-inf-1,112,1
al_scip-inf-2,113,2
al_scip-inf-3,114,3
al_scip-inf-4,115,4
al_scip-inf-6,116,5
al_scip-vte-1,117,6
al_scip-vte-2,118,7
al_ami-1,119,8
al_ami-2,120,9
al_ami-3,121,10
al_ami-4,122,11
al_ami-5,123,12
al_ami-7a,124,13
al_ami-8a,125,14
al_hf-1,126,15
al_hf-2,127,16
