,index ,provider_number ,name                                 ,address_1                    ,address_2 ,address_3 ,city         ,state ,zip   ,county     ,phone      ,type                 ,owner                                       ,emergency_service ,condition                     ,measure_code ,measure_name                                                                                                                                                                             ,score ,sample        ,state_average
0,,,,,,,,,,,,,,,,,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery ,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,birminghxm   ,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,
7,,,,,,,birmingxam   ,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,sheffxeld    ,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,1xx19           ,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,acuxe care hospixals ,,,,,,,,
17,,,,,,,,,,,,,,,,,,,3x patients   ,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,heart attaxk                  ,,,,,
22,,,,,,,,,,,,,government - hospxtal dxstrxct or authorxty ,,hearx axxack                  ,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,334793870x ,,,yxs               ,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,southeast alabama medxcal center     ,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,government - hospital xistrict or authority ,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,governmenx - hospixal disxricx or auxhorixy ,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,xx479x8701 ,,,,,,,,,
