,year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  
0,2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,"Horror,Thriller                                                                      "
1,2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
2,2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.6             ,"Horror,Thriller                                                                      "
3,2007           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.5             ,Documentary                                                                            
4,2010           ,"English,French                                                                         ","UK,USA                                                                                                 ",93 min        ,6.7             ,Documentary                                                                            
5,1969           ,"English,Spanish,French,Russian                                                         ",USA                                                                                                      ,93 min        ,6.3             ,Horror                                                                                 
6,1976           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.8             ,"Horror,Thriller                                                                      "
7,1987           ,English                                                                                  ,USA                                                                                                      ,92 min        ,5.9             ,"Horror,Thriller                                                                      "
8,2015           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.3             ,"Drama,Romance                                                                        "
9,2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.8             ,"Comedy,Romance                                                                       "
10,2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.9             ,"Comedy,Drama                                                                         "
11,2009           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.2             ,Documentary                                                                            
12,2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.6             ,"Comedy,Drama                                                                         "
13,2007           ,"English,French,Arabic,Russian,Spanish                                                  ","UK,USA                                                                                                 ",101 min       ,7.1             ,"Horror,Thriller                                                                      "
14,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.9             ,"Horror,Thriller                                                                      "
15,2002           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,6.7             ,"Comedy,Drama,Romance                                                                 "
16,2013           ,"English,Spanish                                                                        ","USA,Germany,Japan,UK                                                                                   ",101 min       ,6.5             ,"Action,Adventure,Fantasy                                                             "
17,1999           ,"English,Egyptian (Ancient),Arabic                                                      ",USA                                                                                                      ,95 min        ,7.0             ,"Action,Adventure,Fantasy                                                             "
18,2013           ,English                                                                                  ,"UK,Germany,Hungary,USA                                                                                 ",101 min       ,7.0             ,Documentary                                                                            
19,2006           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.8             ,"Action,Fantasy,Sci-Fi                                                                "
20,2010           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.7             ,"Animation,Comedy,Family                                                              "
21,2013           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.4             ,"Animation,Adventure,Comedy                                                           "
22,1999           ,"English,Spanish                                                                        ",USA                                                                                                      ,92 min        ,7.2             ,"Animation,Adventure,Comedy                                                           "
23,2009           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.3             ,"Horror,Thriller                                                                      "
24,2009           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,6.7             ,"Comedy,Drama                                                                         "
25,2012           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.8             ,"Action,Adventure,Thriller                                                            "
26,1998           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.1             ,Horror                                                                                 
27,2010           ,English                                                                                  ,USA                                                                                                      ,              ,6.6             ,Documentary                                                                            
28,2006           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.1             ,Documentary                                                                            
29,2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Comedy,Drama                                                                         "
30,2013           ,"English,Spanish                                                                        ","USA,New Zealand,Japan                                                                                  ",95 min        ,7.7             ,"Comedy,Drama,Romance                                                                 "
31,1986           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Comedy,Drama,Romance                                                                 "
32,1998           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.0             ,"Comedy,Drama,Romance                                                                 "
33,1969           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Comedy,Drama,Romance                                                                 "
34,1968           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.5             ,"Comedy,Drama,Romance                                                                 "
35,2014           ,"English,French,German,Italian                                                          ",USA                                                                                                      ,100 min       ,6.6             ,"Comedy,Drama,Romance                                                                 "
36,1968           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,7.3             ,"Comedy,Romance                                                                       "
37,2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,Drama                                                                                  
38,1986           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.8             ,"Comedy,Drama,Romance                                                                 "
39,1999           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.3             ,"Horror,Thriller                                                                      "
40,2012           ,"English,French                                                                         ","UK,USA                                                                                                 ",95 min        ,7.7             ,"Drama,Romance                                                                        "
41,2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.6             ,"Comedy,Drama,Romance                                                                 "
42,2014           ,English                                                                                  ,USA                                                                                                      ,88 min        ,5.8             ,"Comedy,Drama,Romance                                                                 "
43,2007           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,"Documentary,Biography,Sport                                                          "
44,2008           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.7             ,Documentary                                                                            
