folder,iteration,accuracy,precision,recall,completion_tokens,prompt_tokens,total_tokens,output_valid,output_rows,response_time
hospital,0,,0.0,0.0,1498,86250,87748,True,0,295.9141330718994
hospital,1,,0.0,0.0,1534,43295,44829,True,0,117.47033309936523
hospital,2,,0.0,0.0,1271,21854,23125,True,0,23.5236234664917
hospital,3,,0.0,0.0,1408,11106,12514,True,0,40.403411626815796
hospital,4,,0.0,0.0,1403,5753,7156,True,0,23.54542875289917
hospital,5,,0.0,0.0,1394,2997,4391,True,0,31.07613515853882
hospital,6,,0.0,0.0,683,1614,2297,True,0,13.775233507156372
hospital,7,,0.0,0.0,400,949,1349,True,0,8.357464790344238
hospital,8,,0.0,0.0,160,554,714,True,0,3.047605276107788
hospital,9,,0.0,0.0,80,373,453,True,0,1.8895528316497803
