folder,iteration,accuracy,precision,recall,completion_tokens,prompt_tokens,total_tokens,output_valid,output_rows,response_time
tax,0,0,0,0,0,0,0,False,0,10.981446266174316
tax,1,0,0,0,0,0,0,False,0,8.628145933151245
tax,2,0,0,0,0,0,0,False,0,5.222007751464844
tax,3,0,0,0,0,0,0,False,0,4.382821321487427
tax,4,0,0,0,0,0,0,False,0,3.603081703186035
tax,5,0,0,0,0,0,0,False,0,1.1578476428985596
tax,6,0,0,0,0,0,0,False,0,0.8391659259796143
tax,7,,0.0,0.0,2114,62377,64491,True,0,77.96145224571228
tax,8,,0.0,0.0,1506,31310,32816,True,0,54.55642747879028
tax,9,,0.0,0.0,1556,15721,17277,True,0,54.532066822052
tax,10,,0.0,0.0,453,7964,8417,True,0,13.095146179199219
tax,11,,0.0,0.0,1113,4067,5180,True,0,20.084667444229126
tax,12,,0.0,0.0,1169,2122,3291,True,0,19.988977432250977
tax,13,,0.0,0.0,453,1157,1610,True,0,7.75632381439209
tax,14,,0.0,0.0,449,681,1130,True,0,8.121546745300293
tax,15,,0.0,0.0,209,443,652,True,0,3.5205955505371094
tax,16,0,0,0,127,324,451,False,0,3.6274640560150146
tax,17,,0.0,0.0,59,243,302,True,0,1.7423593997955322
